City,Country,ID,Count
"Newark, NJ",Sint Maarten,663,20624
"Boston, MA",Sint Maarten,663,10506
"Minneapolis, MN",Sint Maarten,663,3815
"Rochester, NY",Sint Maarten,663,22
"Fort Lauderdale, FL",Sint Maarten,663,6248
"St. Louis, MO",Sint Maarten,663,112
"San Juan, PR",Sint Maarten,663,10800
"Cleveland, OH",Sint Maarten,663,29
"Chicago, IL",Sint Maarten,663,2417
"Harrisburg, PA",Sint Maarten,663,4
"Detroit, MI",Sint Maarten,663,151
"Houston, TX",Sint Maarten,663,13
"Baltimore, MD",Sint Maarten,663,50
"Charlotte, NC",Sint Maarten,663,45943
"Pittsburgh, PA",Sint Maarten,663,4
"Philadelphia, PA",Sint Maarten,663,16948
"Atlanta, GA",Sint Maarten,663,49052
"New York, NY",Sint Maarten,663,85668
"Washington, DC",Sint Maarten,663,3423
"Savannah, GA",Sint Maarten,663,1
"Indianapolis, IN",Sint Maarten,663,6
"Miami, FL",Sint Maarten,663,67590
"Houston, TX",Angola,24,6113
"Miami, FL",Antigua and Barbuda,28,48030
"Newark, NJ",Antigua and Barbuda,28,15733
"Salt Lake City, UT",Antigua and Barbuda,28,4
"San Juan, PR",Antigua and Barbuda,28,1588
"New York, NY",Antigua and Barbuda,28,49193
"Atlanta, GA",Antigua and Barbuda,28,5480
"Charlotte, NC",Antigua and Barbuda,28,4551
"Cleveland, OH",Antigua and Barbuda,28,2
"New York, NY",Azerbaijan,31,17545
"Los Angeles, CA",Argentina,32,1620
"Dallas/Fort Worth, TX",Argentina,32,80886
"Miami, FL",Argentina,32,473832
"Newark, NJ",Argentina,32,12328
"Atlanta, GA",Argentina,32,82406
"Houston, TX",Argentina,32,80344
"New York, NY",Argentina,32,156132
"San Francisco, CA",Argentina,32,776
"New York, NY",Australia,36,88442
"Las Vegas, NV",Australia,36,1027
"Los Angeles, CA",Australia,36,871106
"Honolulu, HI",Australia,36,313397
"Dallas/Fort Worth, TX",Australia,36,111046
"San Francisco, CA",Australia,36,163330
"Newark, NJ",Austria,40,50803
"Miami, FL",Austria,40,40217
"Boston, MA",Austria,40,2
"Los Angeles, CA",Austria,40,37819
"Washington, DC",Austria,40,53329
"New York, NY",Austria,40,46167
"Chicago, IL",Austria,40,56560
"New Orleans, LA",The Bahamas,44,292
"Milwaukee, WI",The Bahamas,44,167
"Detroit, MI",The Bahamas,44,3434
"Raleigh/Durham, NC",The Bahamas,44,105
"Fort Lauderdale, FL",The Bahamas,44,350686
"Dallas, TX",The Bahamas,44,112
"Tampa, FL",The Bahamas,44,7845
"Washington, DC",The Bahamas,44,7732
"West Palm Beach/Palm Beach, FL",The Bahamas,44,21510
"Baltimore, MD",The Bahamas,44,10652
"Charlotte, NC",The Bahamas,44,91596
"Memphis, TN",The Bahamas,44,3
"Nashville, TN",The Bahamas,44,156
"Houston, TX",The Bahamas,44,23152
"Syracuse, NY",The Bahamas,44,12
"Austin, TX",The Bahamas,44,43
"Miami, FL",The Bahamas,44,284846
"Indianapolis, IN",The Bahamas,44,148
"Newark, NJ",The Bahamas,44,51836
"Santa Ana, CA",The Bahamas,44,20
"Sanford, FL",The Bahamas,44,3501
"Chicago, IL",The Bahamas,44,15154
"Philadelphia, PA",The Bahamas,44,34315
"Minneapolis, MN",The Bahamas,44,2994
"Pittsburgh, PA",The Bahamas,44,251
"New York, NY",The Bahamas,44,113004
"Cleveland, OH",The Bahamas,44,194
"Fort Myers, FL",The Bahamas,44,367
"Denver, CO",The Bahamas,44,165
"Columbus, OH",The Bahamas,44,270
"Hartford, CT",The Bahamas,44,10
"Las Vegas, NV",The Bahamas,44,4
"Jacksonville, FL",The Bahamas,44,583
"Dallas/Fort Worth, TX",The Bahamas,44,15724
"Atlanta, GA",The Bahamas,44,205637
"Rochester, NY",The Bahamas,44,4
"Orlando, FL",The Bahamas,44,75559
"Boston, MA",The Bahamas,44,16877
"St. Louis, MO",The Bahamas,44,224
"Guam, TT",Bangladesh,50,370
"Newark, NJ",Barbados,52,1025
"Miami, FL",Barbados,52,108741
"Charlotte, NC",Barbados,52,4449
"Philadelphia, PA",Barbados,52,14
"Boston, MA",Barbados,52,9673
"Orlando, FL",Barbados,52,57
"Fort Lauderdale, FL",Barbados,52,35420
"Washington, DC",Barbados,52,5
"Atlanta, GA",Barbados,52,6267
"New York, NY",Barbados,52,111777
"St. Louis, MO",Barbados,52,13
"Houston, TX",Belgium,56,488
"Newark, NJ",Belgium,56,76972
"Sanford, FL",Belgium,56,376
"Miami, FL",Belgium,56,25768
"Atlanta, GA",Belgium,56,37330
"Chicago, IL",Belgium,56,61614
"Boston, MA",Belgium,56,390
"San Francisco, CA",Belgium,56,6
"Washington, DC",Belgium,56,114556
"New York, NY",Belgium,56,139596
"Philadelphia, PA",Bermuda,60,29575
"Chicago, IL",Bermuda,60,1
"Boston, MA",Bermuda,60,58357
"Baltimore, MD",Bermuda,60,2
"Washington, DC",Bermuda,60,7018
"Newark, NJ",Bermuda,60,16981
"Atlanta, GA",Bermuda,60,39520
"West Palm Beach/Palm Beach, FL",Bermuda,60,3
"Charlotte, NC",Bermuda,60,1015
"Miami, FL",Bermuda,60,36611
"New York, NY",Bermuda,60,144634
"Miami, FL",Bolivia,68,52169
"Atlanta, GA",Brazil,76,171764
"Boston, MA",Brazil,76,3318
"Los Angeles, CA",Brazil,76,64458
"Detroit, MI",Brazil,76,25450
"Dallas/Fort Worth, TX",Brazil,76,83044
"Orlando, FL",Brazil,76,300572
"Miami, FL",Brazil,76,770835
"Washington, DC",Brazil,76,60223
"San Francisco, CA",Brazil,76,1536
"Fort Lauderdale, FL",Brazil,76,103189
"New York, NY",Brazil,76,345693
"Newark, NJ",Brazil,76,77176
"Minneapolis, MN",Brazil,76,1131
"Las Vegas, NV",Brazil,76,3
"Houston, TX",Brazil,76,125333
"Chicago, IL",Brazil,76,69283
"Providence, RI",Belize,84,3
"Chicago, IL",Belize,84,3484
"Houston, TX",Belize,84,125867
"Los Angeles, CA",Belize,84,11267
"New York, NY",Belize,84,53
"St. Louis, MO",Belize,84,41
"Dallas/Fort Worth, TX",Belize,84,37968
"Newark, NJ",Belize,84,3496
"Atlanta, GA",Belize,84,51888
"Charlotte, NC",Belize,84,6240
"Boston, MA",Belize,84,274
"Washington, DC",Belize,84,13
"Phoenix, AZ",Belize,84,2
"Miami, FL",Belize,84,62071
"Denver, CO",Belize,84,4728
"Fort Lauderdale, FL",Belize,84,18921
"Orlando, FL",Belize,84,10
"Hartford, CT",Belize,84,203
"San Juan, PR",British Virgin Islands,92,36310
"Los Angeles, CA",British Virgin Islands,92,11
"Dallas, TX",British Virgin Islands,92,3
"Guam, TT",Burma,104,84
"Anchorage, AK",Canada,124,14307
"Pittsburgh, PA",Canada,124,49498
"Milwaukee, WI",Canada,124,17834
"Sacramento, CA",Canada,124,7
"Dallas, TX",Canada,124,293
"Santa Ana, CA",Canada,124,39880
"Boston, MA",Canada,124,503289
"Indianapolis, IN",Canada,124,27921
"San Francisco, CA",Canada,124,818000
"Ontario, CA",Canada,124,2
"New Orleans, LA",Canada,124,28192
"Dallas/Fort Worth, TX",Canada,124,398883
"Portland, OR",Canada,124,136677
"Tampa, FL",Canada,124,180285
"St. Louis, MO",Canada,124,29543
"Fresno, CA",Canada,124,2
"El Paso, TX",Canada,124,3
"Austin, TX",Canada,124,20931
"Myrtle Beach, SC",Canada,124,6063
"Kahului, HI",Canada,124,180313
"Kansas City, MO",Canada,124,15765
"Newburgh/Poughkeepsie, NY",Canada,124,7
"Fort Lauderdale, FL",Canada,124,573203
"Harrisburg, PA",Canada,124,8119
"Orlando, FL",Canada,124,592485
"Palm Springs, CA",Canada,124,189306
"Memphis, TN",Canada,124,9922
"Syracuse, NY",Canada,124,7965
"Honolulu, HI",Canada,124,172867
"Salt Lake City, UT",Canada,124,128216
"Las Vegas, NV",Canada,124,888425
"Philadelphia, PA",Canada,124,277895
"Phoenix, AZ",Canada,124,458312
"Minneapolis, MN",Canada,124,512838
"Rochester, NY",Canada,124,8986
"New York, NY",Canada,124,1379381
"San Antonio, TX",Canada,124,11113
"Washington, DC",Canada,124,438731
"West Palm Beach/Palm Beach, FL",Canada,124,56415
"Detroit, MI",Canada,124,259961
"Denver, CO",Canada,124,402188
"Sarasota/Bradenton, FL",Canada,124,28776
"Los Angeles, CA",Canada,124,1245028
"Atlanta, GA",Canada,124,413913
"St. Petersburg, FL",Canada,124,8901
"Fort Myers, FL",Canada,124,147917
"Savannah, GA",Canada,124,7430
"Seattle, WA",Canada,124,765573
"Columbus, OH",Canada,124,34547
"Kona, HI",Canada,124,30716
"San Jose, CA",Canada,124,52025
"Baltimore, MD",Canada,124,50512
"Reno, NV",Canada,124,10
"Miami, FL",Canada,124,352959
"Newark, NJ",Canada,124,760210
"Raleigh/Durham, NC",Canada,124,44677
"Cincinnati, OH",Canada,124,45048
"Cleveland, OH",Canada,124,40727
"Charlotte, NC",Canada,124,131820
"Hartford, CT",Canada,124,29121
"Nashville, TN",Canada,124,75081
"Houston, TX",Canada,124,510779
"Oakland, CA",Canada,124,24
"Jacksonville, FL",Canada,124,9564
"Chicago, IL",Canada,124,1126835
"San Juan, PR",Canada,124,12357
"Lihue, HI",Canada,124,24425
"San Diego, CA",Canada,124,142024
"Providence, RI",Cape Verde,132,9750
"Providence, RI",Cayman Islands,136,166
"Atlanta, GA",Cayman Islands,136,53854
"San Diego, CA",Cayman Islands,136,1
"Cleveland, OH",Cayman Islands,136,33
"New Orleans, LA",Cayman Islands,136,41
"Baltimore, MD",Cayman Islands,136,23
"Miami, FL",Cayman Islands,136,159046
"Pittsburgh, PA",Cayman Islands,136,5
"Newark, NJ",Cayman Islands,136,8709
"Cincinnati, OH",Cayman Islands,136,95
"Phoenix, AZ",Cayman Islands,136,4
"Tampa, FL",Cayman Islands,136,20335
"New York, NY",Cayman Islands,136,53470
"Fort Lauderdale, FL",Cayman Islands,136,19689
"Rochester, NY",Cayman Islands,136,8
"Dallas/Fort Worth, TX",Cayman Islands,136,15620
"Detroit, MI",Cayman Islands,136,2204
"Boston, MA",Cayman Islands,136,3371
"Minneapolis, MN",Cayman Islands,136,2125
"Washington, DC",Cayman Islands,136,9250
"San Francisco, CA",Cayman Islands,136,37
"Charlotte, NC",Cayman Islands,136,62592
"Syracuse, NY",Cayman Islands,136,40
"Kansas City, MO",Cayman Islands,136,33
"Los Angeles, CA",Cayman Islands,136,21
"Chicago, IL",Cayman Islands,136,11074
"Houston, TX",Cayman Islands,136,27905
"Nashville, TN",Cayman Islands,136,65
"Philadelphia, PA",Cayman Islands,136,6050
"Los Angeles, CA",Chile,152,47178
"Providence, RI",Chile,152,4
"Salt Lake City, UT",Chile,152,1345
"Washington, DC",Chile,152,2
"New York, NY",Chile,152,103148
"Atlanta, GA",Chile,152,60500
"Houston, TX",Chile,152,55794
